ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,sex or gender,VIAF cluster ID,Title,Imprint,Quotation,Headnote,Index_category,language
part4_p105_a5,Vol.3,Part IV,p105,1826.,1826,high,"Cooper, James Fenimore.",high,James Fenimore Cooper,male,27062769,"The Last of the Mohicans,",p. 30.,"The most confirmed gait that he could establish was a
Canterbury gallop with the hind legs.",,,en
part4_p105_a6,Vol.3,Part IV,p105-106,1830.,1830,high,"Cunningham, Allan.",high,Allan Cunningham,male,79253486,"The Lives of the Most Eminent British Painters, Sculptors and Architects,","6 vols., vol. ii, pp. 161-2, 165, 172.","[p.162] The picture [Blake’s Canterbury Pilgrims] is a failure.
Blake was too great a visionary for dealing with such literal
wantons as the Wife of Bath and her jolly companions.
... He gives grossness of body for grossness of mind.",,"illustrations,blake,",en
part4_p106_a1,Vol.3,Part IV,p106,[a. 1834.],[a. 1834],low,"Stothard, Thomas.",high,Thomas Stothard,male,27071936,"Paintings, etc., illustrating Chaucer.",,"[Stothard not only painted the celebrated picture of the
Canterbury Pilgrims, q. v. above, pt. ii, sect. i, 1808, and
Carey, pt. ii, sect. i, p. 35, etc.; at his sale in 1834 three
pictures from Chaucer were sold, and at Samuel Rogers’s
sale in 1856“The Canterbury Pilgrims"" and engravings and
drawings of it, and also another picture, probably one of
those sold in 1834, appear. See Rogers’s Catalogue, pp. 64,
97-8, 103, 115, 181 and 195; and Mrs. Bray's Life of Thomas
Stothard, 1851, pp. 241, 243. He also painted a picture
of the Cock and the Fox. See above, 1836, pt. ii, sect. i,
p. 203.]",,"illustrations,stothard,",en
part4_p106_a2,Vol.3,Part IV,p106,1843.,1843,high,"[Chambers, Robert ?]",low,Robert Chambers,male,61590299,"Chaucer, [in the] Cyclopœdia of English. Literature...","edited by Robert Chambers, Edinburgh, 1844 [preface dated 1843], 2 vols., vol. i, pp. 12-23.","[An account of Chaucer, followed by select passages.
Chaucer the founder of literary English; a man of the
world ; his life (including the exile, etc.); his works, a brief
account of some of the minor works, including some suppo¬
sititious pieces, e. g. The Testament of Love and The Court
of Love; a longer account of the scheme of The Canterbury
Tales. An extract is given from the Proloque, in original
spelling; this is followed by other extracts, mainly from the
Canterbury Tales, in Cowden Clarke’s and other modernized
forms. Illustrated with woodcuts of Chaucer, of his tomb,
and of the Tabard Inn.]",,"biography,general-accounts,english",en
part4_p106_a3,Vol.3,Part IV,p106,1848.,1848,high,"Gaskell, Elizabeth Cleghorn, Mrs.",high,Elizabeth Gaskell,female,39377536,"Mary Barton,","2 vols., vol. i, pp. 70, 80, 96, 127, 157, 211.","[Foot-notes pointing out the survival of Chaucerian words
in Lancashire.]",,"criticism,language,dialects",en
part4_p106_a4,Vol.3,Part IV,p106,[c. 1857-8.],[c. 1857-8],low,"Hunt, James Henry Leigh.",high,Leigh Hunt,male,54166412,"An Essay on the Sonnet,","[in] The Book of the Sonnet, 1867.",,"[This is entered above, pt. ii, sect. ii, p. 22, as [c. 1855]. In the Examiner, 18 May, 1867, it is stated that Hunt finished his part of this work ""a year or two before his death,"" which happened in 1859. The date should therefore read as here given.]",,N/A
part4_p107_a2,Vol.3,Part IV,p107,1577.,1577,high,"Grange, John.",high,John Grange,male,49571001,"The Golden Aphroditis,",conclusion to pt. i.,"[sig.
N 2 b]
If I had Virgilles vayne to indite, or Homers quill, Terence
his familiar kinde of talke, or Chaucers vayne in wryting,
yea, if I were as eloquent as Cicero himself...",,,en
part4_p107_a3,Vol.3,Part IV,p107,1583.,1583,high,"Melbancke, Brian.",high,Brian Melbancke,male,68814989,Philotimus.,,"[sig.
[a]4 b]
If I haue vsed any rare and obsolete words, they are
eyther such as the Coryphees of our English writers, Chaucer
and Lidgate, haue vsed before me, and now are decayed for
want of practice: or else such as by an apt translation out
of the Greekes and Latins... are fitly contriued into our
English language.
[p. 55
(53)]
Fye pleasure, fye, thou cloyest me with delyghte. Nowe
Priams son giue place, thy helens hue is stainde, O Troylus
weepe no more, faire Cressid thyne is lothlye fowle...",[This passage seems to be an imperfect quotation from a poem.],"criticism,language,obsoleteRude/works,otherSeparateWorks,troilus",en
part4_p107_a4,Vol.3,Part IV,p107,1586.,1586,high,"Vulcanius, Bonaventura.",high,Bonaventura Vulcanius,male,77391,"Verses prefixed to A Choice of Emblemes, by Geoffrey Whitney;","imprinted at Leyden, in the house of Christopher Plantyn, by Francis Raphelengius.","[sig. ***1a] Vna duos genuit Galfridos Anglia, Vates
Nomine, Phœbæo numine, & arte pares,
Vnum, Fama suæ patriæ indigitauit Homerum,
Anglicus hic meritò dicitur Hesiodus.
Ac veluti dubiis quondam victoria pennis
Inter Mæoniden Hesiodumque stetit:
Sic, quibus exultat modò læta Britannia alumnis,
Galfridos palma est inter, in ambiguo.
Chauceri versant dudum aurea scripta Britanni:
Aurea Whitnæus sed sua pressit adhuc...
Digitized by Google
UNIVERSITY OF MICHIGAN
Original from",,"criticism,comparisons,homer",la
part4_p108_a1,Vol.3,Part IV,p108,[1596.],[1596],medium,"Shakespeare, William.",high,William Shakespeare,male,96994048,"The Merchant of Venice,","v, i, 3-6.","Troilus methinks mounted the Troyan walls,
In such a night
And sighed his soul toward the Grecian tents
Where Cressid lay that night.","[For other evidences of Shakespeare's debt to Troilus, see above, App. A, 1589 and 1608?]","works,otherSeparateWorks,troilus",en
part4_p108_a2,Vol.3,Part IV,p108,[n.a. 1603.],[n.a. 1603],low,"Elizabeth, Queen.",high,Elizabeth I of England,female,97107753,"Quotation of Reves Tale,",l. 134.,"""The grettest Clerkes been noght the wysest men.""
[Sir Walter Scott reports Queen Elizabeth's quotation of
this line to the Bishop of St. David’s in Tales of a Grandfather
(q.v. above, 1829), and alludes to it in The Monastery and in
Kenilworth (qq.v. above, 1820 and 1821). We have not
been able to identify the occasion or to verify the story,
which may be of Scott’s invention.]",,,en
