ID,Volume,Page,Date,Author,Title,Imprint,Quotation,headnote
vol1_p2_a6,Vol.1,p2,"1372, Nov. 12",,"Commission appointing James Provan, John de Mari, and Geoffrey Chaucer, as envoys to treat with the Duke, Citizens, and Merchants of Genoa, for the purpose of choosing some port in England where the Genoese may form a commercial establishment.","French Roll, 46 Edw. III., m. 8 (Kirk, 181-2. Rymer, vol. vi, p. 755. Godwin, App. viii).",,
vol1_p2_a7,Vol.1,p2,1372 Dec. 1,,Payment to Chaucer of £66 13s. 4d. for his expenses in his mission to foreign parts on the King’s secret affairs.,"Issue Roll, Mich., 47 Edw. III., m. 13 (Kirk, 182-3. Nicolas, note D).",,
vol1_p2_a8,Vol.1,p2,"1373, May 23",,"Chaucer's account of receipts and expenses for his journeys to Genoa and Florence, from Dec. I, 1372, to May 23. 1373.","Exchequer L. T. R. Foreign Accounts, 47 Edw. III., forula C (Kirk, 183-4. See also F. J. Mather in The Nation, Oct. 8, 1896, p. 267).",,
vol1_p2_a9,Vol.1,p2,"1373, June 27",,"Account of the Keeper of the Wardrobe of the King's Household, from June 27, 1371, to June 27, 1373, containing particulars of the Winter and Summer Robes delivered to members of the Household, including Chaucer, as a ""scutifer"" of the King's Chamber.","Exchequer Q. R. Household and Wardrobe Accounts, 397|5 (Kirk, 185-6).",,
vol1_p3_a1,Vol.1,p3,"1373, Sept. 29",,"Extract from the Account of the Sheriffs of London and Middlesex, showing Chaucer's discharge from the £10 received by him at the commencement of the war.","Pipe Roll, 47 Edw. III. (Kirk, 186-7).",,
vol1_p3_a2,Vol.1,p3,1373 Nov. 11,,"Writ to the Treasurer, Barons, and Chamberlains of the Exchequer to pay Chaucer for his journeys to Genoa and Florence.","Exchequer Q. R. Memoranda Roll, Mich., 48 Edw. III., Brevia, m. 14 (Kirk, 187-8).",,
vol1_p3_a3,Vol.1,p3,"1374, Jan. 20",,"Enrolment of a Writ of Privy Seal directed to the Treasurer and Barons of the Exchequer, by which the repayment of the sums advanced by the King to Chaucer and others is remitted [see Entry 2 under 1369].","Exchequer Q. R. Memoranda Roll 48 Edw. III., Brevia, Hilary, m. 3 (Kirk, 188-9).",,
vol1_p3_a4,Vol.1,p3,"1374, Feb. 4",,"Payment to Geoffrey Chaucer, the King's Esquire, of £25 6s. 8d., for his wages and expenses in going to Genoa and Florence.","Issue Roll, Mich., 48 Edw. III., m. 20 (Kirk, 189. Nicolas, note E).",,
vol1_p3_a5,Vol.1,p3,"1374, April 28",,"King Edward III. grants Chaucer a pitcher of wine daily, to be received in the port of London at the hands of the King's Butler.","Patent Roll, 48 Edw. III., part 1, m. 20 (Kirk, 189, 190. Rymer, vol. vii, p. 35. Godwin, App. ix).",,
vol1_p3_a6,Vol.1,p3,"1374, May 10",,"Chaucer obtains a lease from the Mayor, Aldermen, and Commonalty of the City of London of all the “mansion"" above the gate of Aldgate.","City of London Records. Letter Book G, fol. 321 (Kirk, 190, 191. For a translation of this document see H. T. Riley’s Memorials of London and London Life, ed. 1868, pp. 377- 8; also App. to Trial Forewords to Parallel text edition of Chaucer's minor poems, by F. J. Furnivall, Chaucer Soc., 1871, p. i).",,
vol1_p3_a7,Vol.1,p3,"1374, June 8",,"Chaucer is appointed Comptroller of the Custom and Subsidy of Wools, Hides, and Wool-fells in the Port of London.","Patent Roll, 48 Edw. III., p. 1, m. 7 (Kirk, 191. Rymer, vol. vii, p. 38. Godwin, App. x).",,
vol1_p3_a8,Vol.1,p3,"1374, June 8 and 12",,"Chaucer is appointed Comptroller of the Custom and Subsidy of Wools, etc., and also Comptroller of the Petty Customs of Wines, etc., in the Port of London; and he appears in the Court of Exchequer to take his oath.","Exchequer Q. R. Memoranda Roll, Trin., 48 Edw. III., Recorda, m. 1 d (Kirk, 191-2).",,
vol1_p3_a9,Vol.1,p3,"1374, June 18",,"Grant by John of Gaunt, Duke of Lancaster, to Geoffrey Chaucer of £10 a year for life, for his own and his wife's services.","Duchy of Lancaster Registers, No. 13, fol. 90 (Kirk, 192).",,"[There are a few more entries in the Duchy of Lancaster Registers of the payment ot this annuity, but few of the Duke’s accounts have been preserved, so all the payments cannot be traced. See Kirk, pp. xxiv, 198, 212, 228, 226.]"
vol1_p3_a10,Vol.1,p3-4,"1374, July 6",,"Five half-yearly payments of Phillipa Chaucer's annuity paid all at once to Chaucer himself, together with two half-yearly payments of his own annuity.","Issue Roll, Easter, 48 Edw. IIl., m. 12 (Kirk, 192-3).",,"[This is the first payment made to Chaucer of his wife's annuity of 10 marks for life, granted her on Sept. 12, 1366, by Edward III., as ""domicella"" ot the Queen's Chamber, and paid, with some irregularities, from June 1367, to June 1387; see Kirk, pp. xix, 158. Other payments to Chaucer of his wife's annuity are on Jan. 24, Oct. 20, 1375; May 31, Nov. 27, 1376; Feb. 1, May 24, 1381; Nov. 11, 1382; April 30, Oct. 18, 1384; April 24, Nov. 8, 1385; Oct. 20, 1386; and June 18, 1387. Kirk, pp. 192-8, 196, 198-9, 200, 229, 231, 240-1, 246-7, 249, 251-2, 255-6, 266, 271.]"
vol1_p4_a1,Vol.1,p4,"1375, July 26",,"Accounts of John de Bernes and Nicholas de Brembre, Collectors of Customs and Subsidies, under the survey of Chaucer, from Feb. 26, 1374, to July 26, 1375.","Exchequer, L. T. R., Enrolled Accounts, Customs, Roll 8, m. 62 (Kirk, 194-5).",,"[Similar entries occur on Nov. 15, 1375, Oct. 15, 1376, Aug. 24, 1377, Sept. 29, 1378, 79, 80, 81, 82, 83, 84, 85, 86, and Jan. 20, 1387, when Chaucer was succeeded in the Comptrollership of the Customs by Adam Yerdeley. Kirk, pp. 197, 199, 211, 220, 222, 228, 233-4, 238, 243, 248, 253, 263, 268. In these same documents payments are made to Chaucer, on Aug. 24. 1377, of £8 11s. 4d. (his wages as Controller being £10 a year), on Sept. 29, 1378, of £10 19s. 6d., on Sept. 29, 1379, 80, 81, 82, 83, 84, 86, of £10.]"
vol1_p4_a2,Vol.1,p4,"1375, Nov. 8",,"Chaucer, as “Scutifer Regis,” gets a grant of the custody of the lands and person of Edmund Staplegate, of Kent, aged 18, who afterwarde paid Chaucer £104 for his wardship and marriage.","Patent Roll, 49 Edw. III., p. 2, m. 8 (Kirk, 196-7. Godwin, App. xi).",,
